size,elapsed_time
10,1.5e-06
15,2.3e-06
20,6.1e-06
25,6.7e-06
30,3e-06
35,4e-06
40,8.4e-06
45,1.54e-05
50,9.7e-06
55,1.04e-05
60,1.08e-05
65,1.57e-05
70,8.4e-06
75,1.47e-05
80,1.32e-05
85,1.01e-05
90,1.09e-05
95,1.14e-05
100,1.55e-05
105,2.39e-05
110,1.87e-05
115,1.41e-05
120,2.47e-05
125,1.68e-05
130,1.76e-05
135,1.85e-05
140,2.03e-05
145,1.86e-05
150,3.1e-05
155,2.47e-05
160,2.85e-05
165,2.45e-05
170,3.42e-05
175,3.15e-05
180,3.47e-05
185,2.54e-05
190,3.18e-05
195,2.74e-05
200,2.63e-05
