size,elapsed_time
10,7e-07
15,7e-07
20,1.1e-06
25,2.1e-06
30,1.8e-06
35,2.4e-06
40,2.8e-06
45,5.5e-06
50,3.9e-06
55,4.5e-06
60,1.29e-05
65,5.5e-06
70,8.2e-06
75,9.1e-06
80,1.04e-05
85,8.6e-06
90,1.2e-05
95,1.68e-05
100,1.24e-05
105,1.19e-05
110,1.78e-05
115,1.47e-05
120,1.64e-05
125,1.7e-05
130,1.81e-05
135,1.92e-05
140,2.09e-05
145,2.22e-05
150,2.28e-05
155,2.87e-05
160,3.06e-05
165,3.3e-05
170,3.43e-05
175,5.59e-05
180,3.32e-05
185,6.49e-05
190,4.32e-05
195,6.15e-05
200,0.000114
